name,description,latitude,longitude
Chicago Bulls,Chicago Bulls,41.880682,-87.674173
Charlotte Hornets,Charlotte Hornets,35.225179,-80.839387
New Orleans Pelicans,New Orleans Pelicans,29.948949,-90.082176
Milwaukee Bucks,Milwaukee Bucks,43.045032,-87.917311
Los Angeles Clippers,Los Angeles Clippers,34.043056,-118.267222
Portland Trail Blazers,Portland Trail Blazers,45.531508,-122.666762
Washington Wizards,Washington Wizards,38.898125,-77.02088
Cleveland Cavaliers,Cleveland Cavaliers,41.496543,-81.688222
San Antonio Spurs,San Antonio Spurs,29.426944,-98.4375
Memphis Grizzlies,Memphis Grizzlies,35.1382,,-90.050405
Boston Celtics,Boston Celtics,42.366297,-71.062243
Houston Rockets,Houston Rockets,29.750775,-95.362127
Sacramento Kings,Sacramento Kings,38.580341,-121.499716
Golden State Warriors,Golden State Warriors,37.768056,-122.3875
Indiana Pacers,Indiana Pacers,39.763925,-86.155497
Toronto Raptors,Toronto Raptors,43.643408,-79.379064
Brooklyn Nets,Brooklyn Nets,40.6825,,-73.974444
Dallas Mavericks,Dallas Mavericks,32.790408,-96.810306
Detroit Pistons,Detroit Pistons,42.341172,-83.054911
Oklahoma City Thunder,Oklahoma City Thunder,35.463479,-97.514955
Utah Jazz,Utah Jazz,40.768251,-111.9012
Atlanta Hawks,Atlanta Hawks,33.757232,-84.396427
Orlando Magic,Orlando Magic,28.539203,-81.383877
Philadelphia 76ers,Philadelphia 76ers,39.901111,-75.171944
Miami Heat,Miami Heat,25.781406,-80.187933
New York Knicks,New York Knicks,40.750524,-73.993467
Los Angeles Lakers,Los Angeles Lakers,34.043056,-118.267222
Denver Nuggets,Denver Nuggets,39.748689,-105.007608
Minnesota Timberwolves,Minnesota Timberwolves,44.979503,-93.276055
Phoenix Suns,Phoenix Suns,33.446111,-112.070556
